Id,SalePrice
1461,113913.43993944723
1462,159134.89304270144
1463,181946.29668565723
1464,198084.59651006694
1465,191437.15657880393
1466,173577.1552453518
1467,180255.66158724262
1468,166325.90309134938
1469,192575.59187647552
1470,114830.78092815397
1471,197194.06012234717
1472,96035.78463896064
1473,94074.48587169014
1474,144290.17218286823
1475,111705.31346245244
1476,362833.09913299704
1477,247571.2898229202
1478,286472.2955852354
1479,274808.4440416034
1480,486839.6006533257
1481,323493.9992311942
1482,208827.24439317323
1483,178458.83336150827
1484,161056.2586354814
1485,186654.6495757349
1486,195833.9446701114
1487,320116.95409304916
1488,231142.21086215775
1489,194589.4561684635
1490,235941.1383870796
1491,194770.98168464444
1492,91238.4291329205
1493,185018.43083460006
1494,300277.81213018094
1495,286801.60458101716
1496,231036.29126353512
1497,179861.5645139566
1498,165237.11589606683
1499,157956.87101494783
1500,157599.91971630586
1501,180937.51331344357
1502,147226.73717465674
1503,278975.138874617
1504,239986.58336776422
1505,221187.53213273085
1506,183446.60559365837
1507,262480.9636282003
1508,195469.2655227587
1509,161535.408815042
1510,143023.4485237105
1511,151065.06286058418
1512,175263.69517074668
1513,152764.00644598407
1514,150268.68683732086
1515,196625.4375051817
1516,156915.98260477462
1517,170364.11315716538
1518,126957.76226741848
1519,217273.8261924481
1520,125785.01072081618
1521,131799.48054984488
1522,179307.07137718968
1523,112043.22642088264
1524,122904.70097044398
1525,124674.3041426216
1526,112165.61542190395
1527,108620.2793293889
1528,134555.4664263081
1529,145216.10515589622
1530,184400.0945328599
1531,108379.26058995546
1532,91169.5304147558
1533,157458.13445576516
1534,121011.08411080591
1535,151652.7958164635
1536,110020.87407383962
1537,67828.28848880032
1538,147505.25071398047
1539,197809.16850883747
1540,100408.83623294337
1541,136842.17325537192
1542,141248.7748280592
1543,188170.4681388305
1544,85101.30439498778
1545,111738.28868323445
1546,133979.88891975585
1547,127888.98873913565
1548,135238.7950546519
1549,118611.29474556875
1550,128959.05459753075
1551,103537.1781232803
1552,136920.9279538667
1553,143619.94899815568
1554,116115.98069280254
1555,163963.09417994914
1556,88237.24114366276
1557,105185.56086395172
1558,95752.14302034267
1559,67850.3278408482
1560,137918.591420997
1561,128223.28435971442
1562,129474.56352839945
1563,120254.8697964754
1564,158138.76701654212
1565,149076.60629760326
1566,230687.54485937417
1567,76823.34393094618
1568,240160.57054549197
1569,128645.91559804519
1570,140630.45186581177
1571,124494.9988216533
1572,144184.46654202932
1573,236288.55275302925
1574,128101.59943723532
1575,236301.88109115165
1576,256921.9709384327
1577,181279.55559008522
1578,139462.34051014553
